120	91
119	80
118	105
117	129
116	107
115	90
114	96
113	108
112	111
111	107
110	106
109	100
108	111
107	90
106	139
105	134
104	93
103	100
102	107
101	88
100	101
99	91
98	98
97	107
96	118
95	105
94	103
93	101
92	123
91	99
90	128
89	96
88	116
87	134
86	101
85	154
84	102
83	117
82	100
81	100
80	116
79	83
78	103
77	115
76	96
75	110
74	113
73	103
72	107
71	134
70	107
69	116
68	148
67	121
66	102
65	92
64	92
63	106
62	94
61	108
60	112
59	117
58	111
57	104
56	103
55	104
54	99
53	139
52	103
51	113
50	111
49	97
48	106
47	127
46	107
45	127
44	150
43	97
42	95
41	142
40	85
39	111
38	95
37	118
36	113
35	115
34	101
33	95
32	108
31	112
30	125
29	114
28	133
27	154
26	139
25	147
24	156
23	131
22	132
21	141
20	102
19	104
18	137
17	90
16	136
15	117
14	125
13	119
12	138
11	126
10	101
9	135
8	137
7	116
6	124
5	112
4	110
3	161
2	126
1	121
